,n@5,n@10,n@20,p@5,p@10,p@20,mrr,map,name,p_method,p_ratio,measure,r_sum,n_docs,gini,time
31,0.4685,0.4651,0.4535,0.5784,0.5574,0.5169,0.7392,0.288,dcp_0.3,dcp,0.3,gm_2.0,123397.954752,201641432,0.998069439064,2817.20021605
32,0.4696,0.4647,0.4543,0.5797,0.5561,0.5186,0.7405,0.2853,dcp_0.4,dcp,0.4,cm_10,1748998.0,201641432,0.998102740831,2542.53795195
33,0.4696,0.4647,0.4543,0.5797,0.5561,0.5186,0.7405,0.2853,dcp_0.4,dcp,0.4,cm_20,3692295.0,201641432,0.996759776023,2542.53795195
34,0.4696,0.4647,0.4543,0.5797,0.5561,0.5186,0.7405,0.2853,dcp_0.4,dcp,0.4,cm_50,9521835.0,201641432,0.99415000774,2542.53795195
35,0.4696,0.4647,0.4543,0.5797,0.5561,0.5186,0.7405,0.2853,dcp_0.4,dcp,0.4,cm_100,19235854.0,201641432,0.991541178596,2542.53795195
36,0.4696,0.4647,0.4543,0.5797,0.5561,0.5186,0.7405,0.2853,dcp_0.4,dcp,0.4,gm_0.5,3417861.3839,201641432,0.992650561803,2542.53795195
37,0.4696,0.4647,0.4543,0.5797,0.5561,0.5186,0.7405,0.2853,dcp_0.4,dcp,0.4,gm_1.0,813698.334428,201641432,0.994616087422,2542.53795195
38,0.4696,0.4647,0.4543,0.5797,0.5561,0.5186,0.7405,0.2853,dcp_0.4,dcp,0.4,gm_1.5,274562.203499,201641432,0.996696090232,2542.53795195
39,0.4696,0.4647,0.4543,0.5797,0.5561,0.5186,0.7405,0.2853,dcp_0.4,dcp,0.4,gm_2.0,123397.812027,201641432,0.998070839065,2542.53795195
40,0.4717,0.467,0.4552,0.5811,0.5574,0.5182,0.7408,0.2803,dcp_0.5,dcp,0.5,cm_10,1748996.0,201641432,0.998103652497,2270.68096399
41,0.4717,0.467,0.4552,0.5811,0.5574,0.5182,0.7408,0.2803,dcp_0.5,dcp,0.5,cm_20,3692291.0,201641432,0.996762848966,2270.68096399
42,0.4717,0.467,0.4552,0.5811,0.5574,0.5182,0.7408,0.2803,dcp_0.5,dcp,0.5,cm_50,9521719.0,201641432,0.994165514433,2270.68096399
43,0.4717,0.467,0.4552,0.5811,0.5574,0.5182,0.7408,0.2803,dcp_0.5,dcp,0.5,cm_100,19234927.0,201641432,0.991582077043,2270.68096399
44,0.4717,0.467,0.4552,0.5811,0.5574,0.5182,0.7408,0.2803,dcp_0.5,dcp,0.5,gm_0.5,3417749.20192,201641432,0.992680680095,2270.68096399
45,0.4717,0.467,0.4552,0.5811,0.5574,0.5182,0.7408,0.2803,dcp_0.5,dcp,0.5,gm_1.0,813684.208043,201641432,0.994632970984,2270.68096399
46,0.4717,0.467,0.4552,0.5811,0.5574,0.5182,0.7408,0.2803,dcp_0.5,dcp,0.5,gm_1.5,274560.289956,201641432,0.996703165431,2270.68096399
47,0.4717,0.467,0.4552,0.5811,0.5574,0.5182,0.7408,0.2803,dcp_0.5,dcp,0.5,gm_2.0,123397.510502,201641432,0.998073209457,2270.68096399
48,0.4679,0.464,0.4525,0.577,0.5554,0.5145,0.7432,0.2716,dcp_0.6,dcp,0.6,cm_10,1748982.0,201641432,0.998104964733,1996.08558202
49,0.4679,0.464,0.4525,0.577,0.5554,0.5145,0.7432,0.2716,dcp_0.6,dcp,0.6,cm_20,3692213.0,201641432,0.996773031172,1996.08558202
50,0.4679,0.464,0.4525,0.577,0.5554,0.5145,0.7432,0.2716,dcp_0.6,dcp,0.6,cm_50,9521205.0,201641432,0.994198978292,1996.08558202
51,0.4679,0.464,0.4525,0.577,0.5554,0.5145,0.7432,0.2716,dcp_0.6,dcp,0.6,cm_100,19233462.0,201641432,0.991666346346,1996.08558202
52,0.4679,0.464,0.4525,0.577,0.5554,0.5145,0.7432,0.2716,dcp_0.6,dcp,0.6,gm_0.5,3417543.21127,201641432,0.992742899364,1996.08558202
53,0.4679,0.464,0.4525,0.577,0.5554,0.5145,0.7432,0.2716,dcp_0.6,dcp,0.6,gm_1.0,813652.081286,201641432,0.994668419097,1996.08558202
54,0.4679,0.464,0.4525,0.577,0.5554,0.5145,0.7432,0.2716,dcp_0.6,dcp,0.6,gm_1.5,274554.328094,201641432,0.996718448216,1996.08558202
55,0.4679,0.464,0.4525,0.577,0.5554,0.5145,0.7432,0.2716,dcp_0.6,dcp,0.6,gm_2.0,123396.044989,201641432,0.998078571726,1996.08558202
56,0.4656,0.4601,0.4501,0.5784,0.5554,0.5155,0.733,0.2608,dcp_0.7,dcp,0.7,cm_10,1748885.0,201641432,0.998113776421,1743.22262907
57,0.4656,0.4601,0.4501,0.5784,0.5554,0.5155,0.733,0.2608,dcp_0.7,dcp,0.7,cm_20,3691930.0,201641432,0.996801169358,1743.22262907
58,0.4656,0.4601,0.4501,0.5784,0.5554,0.5155,0.733,0.2608,dcp_0.7,dcp,0.7,cm_50,9519962.0,201641432,0.994298916385,1743.22262907
59,0.4656,0.4601,0.4501,0.5784,0.5554,0.5155,0.733,0.2608,dcp_0.7,dcp,0.7,cm_100,19230186.0,201641432,0.991892475861,1743.22262907
60,0.4656,0.4601,0.4501,0.5784,0.5554,0.5155,0.733,0.2608,dcp_0.7,dcp,0.7,gm_0.5,3417059.46527,201641432,0.992913147783,1743.22262907
