,n@5,n@10,n@20,p@5,p@10,p@20,mrr,map,name,p_method,p_ratio,measure,r_sum,n_docs,gini,time
150,0.4448,0.4379,0.4258,0.5568,0.5284,0.4919,0.7143,0.2058,infinite_renyi_0.9,infinite_renyi,0.9,gm_1.5,274415.710797,201641432,0.997220826611,1086.82304096
151,0.4448,0.4379,0.4258,0.5568,0.5284,0.4919,0.7143,0.2058,infinite_renyi_0.9,infinite_renyi,0.9,gm_2.0,123353.319091,201641432,0.998283298481,1086.82304096
152,0.4747,0.471,0.4604,0.5851,0.5635,0.5233,0.743,0.2917,tcp_0.1,tcp,0.1,cm_10,1748381.0,201641432,0.998127365643,4028.04761505
153,0.4747,0.471,0.4604,0.5851,0.5635,0.5233,0.743,0.2917,tcp_0.1,tcp,0.1,cm_20,3690999.0,201641432,0.99680365796,4028.04761505
154,0.4747,0.471,0.4604,0.5851,0.5635,0.5233,0.743,0.2917,tcp_0.1,tcp,0.1,cm_50,9518340.0,201641432,0.994220563984,4028.04761505
155,0.4747,0.471,0.4604,0.5851,0.5635,0.5233,0.743,0.2917,tcp_0.1,tcp,0.1,cm_100,19228207.0,201641432,0.99161736507,4028.04761505
156,0.4747,0.471,0.4604,0.5851,0.5635,0.5233,0.743,0.2917,tcp_0.1,tcp,0.1,gm_0.5,3416550.52948,201641432,0.992726658788,4028.04761505
157,0.4747,0.471,0.4604,0.5851,0.5635,0.5233,0.743,0.2917,tcp_0.1,tcp,0.1,gm_1.0,813397.962594,201641432,0.99467878424,4028.04761505
158,0.4747,0.471,0.4604,0.5851,0.5635,0.5233,0.743,0.2917,tcp_0.1,tcp,0.1,gm_1.5,274463.454644,201641432,0.996737109426,4028.04761505
159,0.4747,0.471,0.4604,0.5851,0.5635,0.5233,0.743,0.2917,tcp_0.1,tcp,0.1,gm_2.0,123353.894119,201641432,0.998095335593,4028.04761505
160,0.4767,0.4711,0.4603,0.5892,0.5649,0.5236,0.7417,0.287,tcp_0.2,tcp,0.2,cm_10,1748381.0,201641432,0.998127552033,3780.08750916
161,0.4767,0.4711,0.4603,0.5892,0.5649,0.5236,0.7417,0.287,tcp_0.2,tcp,0.2,cm_20,3690998.0,201641432,0.996801994307,3780.08750916
162,0.4767,0.4711,0.4603,0.5892,0.5649,0.5236,0.7417,0.287,tcp_0.2,tcp,0.2,cm_50,9518262.0,201641432,0.994215167082,3780.08750916
163,0.4767,0.4711,0.4603,0.5892,0.5649,0.5236,0.7417,0.287,tcp_0.2,tcp,0.2,cm_100,19227827.0,201641432,0.991604606491,3780.08750916
164,0.4767,0.4711,0.4603,0.5892,0.5649,0.5236,0.7417,0.287,tcp_0.2,tcp,0.2,gm_0.5,3416503.74689,201641432,0.992716864002,3780.08750916
165,0.4767,0.4711,0.4603,0.5892,0.5649,0.5236,0.7417,0.287,tcp_0.2,tcp,0.2,gm_1.0,813392.0157,201641432,0.994673072653,3780.08750916
166,0.4767,0.4711,0.4603,0.5892,0.5649,0.5236,0.7417,0.287,tcp_0.2,tcp,0.2,gm_1.5,274462.669562,201641432,0.996734668869,3780.08750916
167,0.4767,0.4711,0.4603,0.5892,0.5649,0.5236,0.7417,0.287,tcp_0.2,tcp,0.2,gm_2.0,123353.786646,201641432,0.99809451116,3780.08750916
168,0.4733,0.4682,0.4572,0.5851,0.5588,0.5199,0.7372,0.274,tcp_0.3,tcp,0.3,cm_10,1748381.0,201641432,0.998125769792,3472.38922405
169,0.4733,0.4682,0.4572,0.5851,0.5588,0.5199,0.7372,0.274,tcp_0.3,tcp,0.3,cm_20,3690996.0,201641432,0.996795083314,3472.38922405
170,0.4733,0.4682,0.4572,0.5851,0.5588,0.5199,0.7372,0.274,tcp_0.3,tcp,0.3,cm_50,9518127.0,201641432,0.994189381992,3472.38922405
171,0.4733,0.4682,0.4572,0.5851,0.5588,0.5199,0.7372,0.274,tcp_0.3,tcp,0.3,cm_100,19226965.0,201641432,0.991547099726,3472.38922405
172,0.4733,0.4682,0.4572,0.5851,0.5588,0.5199,0.7372,0.274,tcp_0.3,tcp,0.3,gm_0.5,3416399.19519,201641432,0.99267242923,3472.38922405
173,0.4733,0.4682,0.4572,0.5851,0.5588,0.5199,0.7372,0.274,tcp_0.3,tcp,0.3,gm_1.0,813378.930896,201641432,0.994646564054,3472.38922405
174,0.4733,0.4682,0.4572,0.5851,0.5588,0.5199,0.7372,0.274,tcp_0.3,tcp,0.3,gm_1.5,274460.968098,201641432,0.99672271658,3472.38922405
175,0.4733,0.4682,0.4572,0.5851,0.5588,0.5199,0.7372,0.274,tcp_0.3,tcp,0.3,gm_2.0,123353.555734,201641432,0.998089935638,3472.38922405
176,0.4723,0.4656,0.4534,0.5824,0.5541,0.5122,0.7302,0.2576,tcp_0.4,tcp,0.4,cm_10,1748381.0,201641432,0.998119947802,3175.18278503
177,0.4723,0.4656,0.4534,0.5824,0.5541,0.5122,0.7302,0.2576,tcp_0.4,tcp,0.4,cm_20,3690991.0,201641432,0.996777130686,3175.18278503
178,0.4723,0.4656,0.4534,0.5824,0.5541,0.5122,0.7302,0.2576,tcp_0.4,tcp,0.4,cm_50,9517989.0,201641432,0.994123071695,3175.18278503
179,0.4723,0.4656,0.4534,0.5824,0.5541,0.5122,0.7302,0.2576,tcp_0.4,tcp,0.4,cm_100,19225953.0,201641432,0.991401058206,3175.18278503
180,0.4723,0.4656,0.4534,0.5824,0.5541,0.5122,0.7302,0.2576,tcp_0.4,tcp,0.4,gm_0.5,3416278.0418,201641432,0.992560785354,3175.18278503
181,0.4723,0.4656,0.4534,0.5824,0.5541,0.5122,0.7302,0.2576,tcp_0.4,tcp,0.4,gm_1.0,813363.9423,201641432,0.994580258049,3175.18278503
182,0.4723,0.4656,0.4534,0.5824,0.5541,0.5122,0.7302,0.2576,tcp_0.4,tcp,0.4,gm_1.5,274459.034451,201641432,0.996692675162,3175.18278503
183,0.4723,0.4656,0.4534,0.5824,0.5541,0.5122,0.7302,0.2576,tcp_0.4,tcp,0.4,gm_2.0,123353.290832,201641432,0.998078206965,3175.18278503
184,0.4694,0.462,0.4524,0.5743,0.5493,0.5149,0.7207,0.2413,tcp_0.5,tcp,0.5,cm_10,1748381.0,201641432,0.998109242842,2876.75577092
185,0.4694,0.462,0.4524,0.5743,0.5493,0.5149,0.7207,0.2413,tcp_0.5,tcp,0.5,cm_20,3690990.0,201641432,0.996747669789,2876.75577092
186,0.4694,0.462,0.4524,0.5743,0.5493,0.5149,0.7207,0.2413,tcp_0.5,tcp,0.5,cm_50,9517822.0,201641432,0.994027687937,2876.75577092
187,0.4694,0.462,0.4524,0.5743,0.5493,0.5149,0.7207,0.2413,tcp_0.5,tcp,0.5,cm_100,19224932.0,201641432,0.991207369138,2876.75577092
188,0.4694,0.462,0.4524,0.5743,0.5493,0.5149,0.7207,0.2413,tcp_0.5,tcp,0.5,gm_0.5,3416153.89943,201641432,0.992409988892,2876.75577092
189,0.4694,0.462,0.4524,0.5743,0.5493,0.5149,0.7207,0.2413,tcp_0.5,tcp,0.5,gm_1.0,813348.459167,201641432,0.994488035536,2876.75577092
190,0.4694,0.462,0.4524,0.5743,0.5493,0.5149,0.7207,0.2413,tcp_0.5,tcp,0.5,gm_1.5,274457.043533,201641432,0.996649192105,2876.75577092
191,0.4694,0.462,0.4524,0.5743,0.5493,0.5149,0.7207,0.2413,tcp_0.5,tcp,0.5,gm_2.0,123353.026597,201641432,0.998060254951,2876.75577092
192,0.4656,0.4616,0.4459,0.5703,0.5534,0.5054,0.7293,0.2242,tcp_0.6,tcp,0.6,cm_10,1748381.0,201641432,0.998096550358,2652.627913
193,0.4656,0.4616,0.4459,0.5703,0.5534,0.5054,0.7293,0.2242,tcp_0.6,tcp,0.6,cm_20,3690987.0,201641432,0.996710119616,2652.627913
194,0.4656,0.4616,0.4459,0.5703,0.5534,0.5054,0.7293,0.2242,tcp_0.6,tcp,0.6,cm_50,9517572.0,201641432,0.993903938142,2652.627913
195,0.4656,0.4616,0.4459,0.5703,0.5534,0.5054,0.7293,0.2242,tcp_0.6,tcp,0.6,cm_100,19223617.0,201641432,0.990961550643,2652.627913
196,0.4656,0.4616,0.4459,0.5703,0.5534,0.5054,0.7293,0.2242,tcp_0.6,tcp,0.6,gm_0.5,3415991.32591,201641432,0.992217649378,2652.627913
197,0.4656,0.4616,0.4459,0.5703,0.5534,0.5054,0.7293,0.2242,tcp_0.6,tcp,0.6,gm_1.0,813327.653541,201641432,0.994370232264,2652.627913
198,0.4656,0.4616,0.4459,0.5703,0.5534,0.5054,0.7293,0.2242,tcp_0.6,tcp,0.6,gm_1.5,274454.268227,201641432,0.996593901112,2652.627913
199,0.4656,0.4616,0.4459,0.5703,0.5534,0.5054,0.7293,0.2242,tcp_0.6,tcp,0.6,gm_2.0,123352.639176,201641432,0.998037882226,2652.627913
200,0.4579,0.4522,0.4294,0.5662,0.5399,0.4784,0.72,0.2032,tcp_0.7,tcp,0.7,cm_10,1748381.0,201641432,0.998078075878,2231.11466193
201,0.4579,0.4522,0.4294,0.5662,0.5399,0.4784,0.72,0.2032,tcp_0.7,tcp,0.7,cm_20,3690982.0,201641432,0.996658545876,2231.11466193
202,0.4579,0.4522,0.4294,0.5662,0.5399,0.4784,0.72,0.2032,tcp_0.7,tcp,0.7,cm_50,9517247.0,201641432,0.993754385377,2231.11466193
203,0.4579,0.4522,0.4294,0.5662,0.5399,0.4784,0.72,0.2032,tcp_0.7,tcp,0.7,cm_100,19221639.0,201641432,0.99069005231,2231.11466193
204,0.4579,0.4522,0.4294,0.5662,0.5399,0.4784,0.72,0.2032,tcp_0.7,tcp,0.7,gm_0.5,3415747.46626,201641432,0.991998242626,2231.11466193
205,0.4579,0.4522,0.4294,0.5662,0.5399,0.4784,0.72,0.2032,tcp_0.7,tcp,0.7,gm_1.0,813296.57619,201641432,0.994231663265,2231.11466193
206,0.4579,0.4522,0.4294,0.5662,0.5399,0.4784,0.72,0.2032,tcp_0.7,tcp,0.7,gm_1.5,274450.146742,201641432,0.996526501924,2231.11466193
207,0.4579,0.4522,0.4294,0.5662,0.5399,0.4784,0.72,0.2032,tcp_0.7,tcp,0.7,gm_2.0,123352.066716,201641432,0.998009361385,2231.11466193
208,0.4363,0.4283,0.4009,0.5446,0.5095,0.4436,0.6994,0.1794,tcp_0.8,tcp,0.8,cm_10,1748450.0,201641432,0.998065395217,1761.5331161
209,0.4363,0.4283,0.4009,0.5446,0.5095,0.4436,0.6994,0.1794,tcp_0.8,tcp,0.8,cm_20,3691042.0,201641432,0.996640975636,1761.5331161
210,0.4363,0.4283,0.4009,0.5446,0.5095,0.4436,0.6994,0.1794,tcp_0.8,tcp,0.8,cm_50,9516787.0,201641432,0.993763780841,1761.5331161
211,0.4363,0.4283,0.4009,0.5446,0.5095,0.4436,0.6994,0.1794,tcp_0.8,tcp,0.8,cm_100,19218787.0,201641432,0.990851851947,1761.5331161
212,0.4363,0.4283,0.4009,0.5446,0.5095,0.4436,0.6994,0.1794,tcp_0.8,tcp,0.8,gm_0.5,3415437.75737,201641432,0.992086404594,1761.5331161
213,0.4363,0.4283,0.4009,0.5446,0.5095,0.4436,0.6994,0.1794,tcp_0.8,tcp,0.8,gm_1.0,813285.37535,201641432,0.994262541348,1761.5331161
214,0.4363,0.4283,0.4009,0.5446,0.5095,0.4436,0.6994,0.1794,tcp_0.8,tcp,0.8,gm_1.5,274468.441588,201641432,0.996528863235,1761.5331161
215,0.4363,0.4283,0.4009,0.5446,0.5095,0.4436,0.6994,0.1794,tcp_0.8,tcp,0.8,gm_2.0,123368.456204,201641432,0.998004499684,1761.5331161
216,0.3539,0.3395,0.3086,0.4311,0.3885,0.3213,0.6009,0.1189,tcp_0.9,tcp,0.9,cm_10,1748526.0,201641432,0.998280673504,1036.94295597
217,0.3539,0.3395,0.3086,0.4311,0.3885,0.3213,0.6009,0.1189,tcp_0.9,tcp,0.9,cm_20,3691032.0,201641432,0.997154300233,1036.94295597
218,0.3539,0.3395,0.3086,0.4311,0.3885,0.3213,0.6009,0.1189,tcp_0.9,tcp,0.9,cm_50,9513551.0,201641432,0.995117576178,1036.94295597
219,0.3539,0.3395,0.3086,0.4311,0.3885,0.3213,0.6009,0.1189,tcp_0.9,tcp,0.9,cm_100,19196115.0,201641432,0.993246680601,1036.94295597
220,0.3539,0.3395,0.3086,0.4311,0.3885,0.3213,0.6009,0.1189,tcp_0.9,tcp,0.9,gm_0.5,3412733.6773,201641432,0.993916672209,1036.94295597
221,0.3539,0.3395,0.3086,0.4311,0.3885,0.3213,0.6009,0.1189,tcp_0.9,tcp,0.9,gm_1.0,812965.640755,201641432,0.99538672401,1036.94295597
222,0.3539,0.3395,0.3086,0.4311,0.3885,0.3213,0.6009,0.1189,tcp_0.9,tcp,0.9,gm_1.5,274436.226391,201641432,0.99707491378,1036.94295597
223,0.3539,0.3395,0.3086,0.4311,0.3885,0.3213,0.6009,0.1189,tcp_0.9,tcp,0.9,gm_2.0,123369.035753,201641432,0.998247092654,1036.94295597
224,0.4696,0.4659,0.4543,0.5797,0.5581,0.5162,0.739,0.2913,up_0.1,up,0.1,cm_10,1746860.0,201641432,0.998132369014,3641.44963694
225,0.4696,0.4659,0.4543,0.5797,0.5581,0.5162,0.739,0.2913,up_0.1,up,0.1,cm_20,3687789.0,201641432,0.996807139936,3641.44963694
226,0.4696,0.4659,0.4543,0.5797,0.5581,0.5162,0.739,0.2913,up_0.1,up,0.1,cm_50,9510103.0,201641432,0.994218989857,3641.44963694
227,0.4696,0.4659,0.4543,0.5797,0.5581,0.5162,0.739,0.2913,up_0.1,up,0.1,cm_100,19211797.0,201641432,0.991609185257,3641.44963694
228,0.4696,0.4659,0.4543,0.5797,0.5581,0.5162,0.739,0.2913,up_0.1,up,0.1,gm_0.5,3413617.46788,201641432,0.992716831396,3641.44963694
229,0.4696,0.4659,0.4543,0.5797,0.5581,0.5162,0.739,0.2913,up_0.1,up,0.1,gm_1.0,812695.296779,201641432,0.994671454395,3641.44963694
230,0.4696,0.4659,0.4543,0.5797,0.5581,0.5162,0.739,0.2913,up_0.1,up,0.1,gm_1.5,274225.328841,201641432,0.996734204427,3641.44963694
231,0.4696,0.4659,0.4543,0.5797,0.5581,0.5162,0.739,0.2913,up_0.1,up,0.1,gm_2.0,123246.670159,201641432,0.998095506519,3641.44963694
232,0.4788,0.4679,0.4568,0.5865,0.5554,0.5162,0.7404,0.2885,up_0.2,up,0.2,cm_10,1743372.0,201641432,0.998155230819,3095.1375041
233,0.4788,0.4679,0.4568,0.5865,0.5554,0.5162,0.7404,0.2885,up_0.2,up,0.2,cm_20,3680409.0,201641432,0.996836921619,3095.1375041
234,0.4788,0.4679,0.4568,0.5865,0.5554,0.5162,0.7404,0.2885,up_0.2,up,0.2,cm_50,9490844.0,201641432,0.994255679592,3095.1375041
235,0.4788,0.4679,0.4568,0.5865,0.5554,0.5162,0.7404,0.2885,up_0.2,up,0.2,cm_100,19172369.0,201641432,0.991645169543,3095.1375041
236,0.4788,0.4679,0.4568,0.5865,0.5554,0.5162,0.7404,0.2885,up_0.2,up,0.2,gm_0.5,3406664.13128,201641432,0.992746996994,3095.1375041
237,0.4788,0.4679,0.4568,0.5865,0.5554,0.5162,0.7404,0.2885,up_0.2,up,0.2,gm_1.0,811054.2363,201641432,0.994695949921,3095.1375041
238,0.4788,0.4679,0.4568,0.5865,0.5554,0.5162,0.7404,0.2885,up_0.2,up,0.2,gm_1.5,273675.369828,201641432,0.996753107375,3095.1375041
239,0.4788,0.4679,0.4568,0.5865,0.5554,0.5162,0.7404,0.2885,up_0.2,up,0.2,gm_2.0,123000.373246,201641432,0.998110222747,3095.1375041
240,0.4635,0.4536,0.4421,0.5662,0.5358,0.4959,0.7252,0.279,up_0.3,up,0.3,cm_10,1739948.0,201641432,0.998174716105,2635.014323
241,0.4635,0.4536,0.4421,0.5662,0.5358,0.4959,0.7252,0.279,up_0.3,up,0.3,cm_20,3673165.0,201641432,0.996865210006,2635.014323
242,0.4635,0.4536,0.4421,0.5662,0.5358,0.4959,0.7252,0.279,up_0.3,up,0.3,cm_50,9472139.0,201641432,0.994294749063,2635.014323
243,0.4635,0.4536,0.4421,0.5662,0.5358,0.4959,0.7252,0.279,up_0.3,up,0.3,cm_100,19134470.0,201641432,0.99168295179,2635.014323
244,0.4635,0.4536,0.4421,0.5662,0.5358,0.4959,0.7252,0.279,up_0.3,up,0.3,gm_0.5,3399940.82444,201641432,0.992778895769,2635.014323
245,0.4635,0.4536,0.4421,0.5662,0.5358,0.4959,0.7252,0.279,up_0.3,up,0.3,gm_1.0,809457.147308,201641432,0.994721475561,2635.014323
246,0.4635,0.4536,0.4421,0.5662,0.5358,0.4959,0.7252,0.279,up_0.3,up,0.3,gm_1.5,273137.666188,201641432,0.996772144405,2635.014323
247,0.4635,0.4536,0.4421,0.5662,0.5358,0.4959,0.7252,0.279,up_0.3,up,0.3,gm_2.0,122759.093925,201641432,0.998124546557,2635.014323
248,0.4639,0.4531,0.4451,0.5716,0.5378,0.5051,0.7177,0.2746,up_0.4,up,0.4,cm_10,1731424.0,201641432,0.998221558717,2105.38125515
249,0.4639,0.4531,0.4451,0.5716,0.5378,0.5051,0.7177,0.2746,up_0.4,up,0.4,cm_20,3655147.0,201641432,0.996931249167,2105.38125515
250,0.4639,0.4531,0.4451,0.5716,0.5378,0.5051,0.7177,0.2746,up_0.4,up,0.4,cm_50,9425555.0,201641432,0.994376737356,2105.38125515
251,0.4639,0.4531,0.4451,0.5716,0.5378,0.5051,0.7177,0.2746,up_0.4,up,0.4,cm_100,19039957.0,201641432,0.991760309535,2105.38125515
252,0.4639,0.4531,0.4451,0.5716,0.5378,0.5051,0.7177,0.2746,up_0.4,up,0.4,gm_0.5,3383184.81945,201641432,0.992847783323,2105.38125515
253,0.4639,0.4531,0.4451,0.5716,0.5378,0.5051,0.7177,0.2746,up_0.4,up,0.4,gm_1.0,805478.180029,201641432,0.994779600577,2105.38125515
254,0.4639,0.4531,0.4451,0.5716,0.5378,0.5051,0.7177,0.2746,up_0.4,up,0.4,gm_1.5,271797.785113,201641432,0.996816811503,2105.38125515
255,0.4639,0.4531,0.4451,0.5716,0.5378,0.5051,0.7177,0.2746,up_0.4,up,0.4,gm_2.0,122157.576106,201641432,0.998158074249,2105.38125515
256,0.4528,0.4541,0.4428,0.5608,0.5466,0.503,0.6959,0.2649,up_0.5,up,0.5,cm_10,1718619.0,201641432,0.998295835695,1694.35165596
257,0.4528,0.4541,0.4428,0.5608,0.5466,0.503,0.6959,0.2649,up_0.5,up,0.5,cm_20,3627221.0,201641432,0.997041064119,1694.35165596
258,0.4528,0.4541,0.4428,0.5608,0.5466,0.503,0.6959,0.2649,up_0.5,up,0.5,cm_50,9349770.0,201641432,0.994523653715,1694.35165596
259,0.4528,0.4541,0.4428,0.5608,0.5466,0.503,0.6959,0.2649,up_0.5,up,0.5,cm_100,18884165.0,201641432,0.991915745752,1694.35165596
260,0.4528,0.4541,0.4428,0.5608,0.5466,0.503,0.6959,0.2649,up_0.5,up,0.5,gm_0.5,3356036.64889,201641432,0.992986846249,1694.35165596
261,0.4528,0.4541,0.4428,0.5608,0.5466,0.503,0.6959,0.2649,up_0.5,up,0.5,gm_1.0,799207.333921,201641432,0.994893694183,1694.35165596
262,0.4528,0.4541,0.4428,0.5608,0.5466,0.503,0.6959,0.2649,up_0.5,up,0.5,gm_1.5,269744.694061,201641432,0.99689954885,1694.35165596
263,0.4528,0.4541,0.4428,0.5608,0.5466,0.503,0.6959,0.2649,up_0.5,up,0.5,gm_2.0,121252.364402,201641432,0.998216316256,1694.35165596
264,0.4252,0.419,0.4138,0.5338,0.502,0.475,0.6536,0.2426,up_0.6,up,0.6,cm_10,1677963.0,201641432,0.998435595499,1327.2274251
265,0.4252,0.419,0.4138,0.5338,0.502,0.475,0.6536,0.2426,up_0.6,up,0.6,cm_20,3541448.0,201641432,0.997246984215,1327.2274251
266,0.4252,0.419,0.4138,0.5338,0.502,0.475,0.6536,0.2426,up_0.6,up,0.6,cm_50,9130726.0,201641432,0.994804716066,1327.2274251
267,0.4252,0.419,0.4138,0.5338,0.502,0.475,0.6536,0.2426,up_0.6,up,0.6,cm_100,18440715.0,201641432,0.992205926953,1327.2274251
268,0.4252,0.419,0.4138,0.5338,0.502,0.475,0.6536,0.2426,up_0.6,up,0.6,gm_0.5,3277213.53721,201641432,0.993248448892,1327.2274251
269,0.4252,0.419,0.4138,0.5338,0.502,0.475,0.6536,0.2426,up_0.6,up,0.6,gm_1.0,780435.04935,201641432,0.995107964971,1327.2274251
270,0.4252,0.419,0.4138,0.5338,0.502,0.475,0.6536,0.2426,up_0.6,up,0.6,gm_1.5,263416.497761,201641432,0.99705354042,1327.2274251
271,0.4252,0.419,0.4138,0.5338,0.502,0.475,0.6536,0.2426,up_0.6,up,0.6,gm_2.0,118414.224974,201641432,0.998324064732,1327.2274251
272,0.388,0.3899,0.3832,0.4797,0.4709,0.4372,0.633,0.2202,up_0.7,up,0.7,cm_10,1597571.0,201641432,0.998700599929,997.092406988
273,0.388,0.3899,0.3832,0.4797,0.4709,0.4372,0.633,0.2202,up_0.7,up,0.7,cm_20,3370239.0,201641432,0.997665842446,997.092406988
274,0.388,0.3899,0.3832,0.4797,0.4709,0.4372,0.633,0.2202,up_0.7,up,0.7,cm_50,8676087.0,201641432,0.995451765942,997.092406988
275,0.388,0.3899,0.3832,0.4797,0.4709,0.4372,0.633,0.2202,up_0.7,up,0.7,cm_100,17486690.0,201641432,0.993018221171,997.092406988
276,0.388,0.3899,0.3832,0.4797,0.4709,0.4372,0.633,0.2202,up_0.7,up,0.7,gm_0.5,3111094.84754,201641432,0.993958254505,997.092406988
277,0.388,0.3899,0.3832,0.4797,0.4709,0.4372,0.633,0.2202,up_0.7,up,0.7,gm_1.0,741838.358661,201641432,0.995648162767,997.092406988
278,0.388,0.3899,0.3832,0.4797,0.4709,0.4372,0.633,0.2202,up_0.7,up,0.7,gm_1.5,250648.836669,201641432,0.99740575252,997.092406988
279,0.388,0.3899,0.3832,0.4797,0.4709,0.4372,0.633,0.2202,up_0.7,up,0.7,gm_2.0,112737.370966,201641432,0.998548418299,997.092406988
280,0.3724,0.3672,0.3616,0.4662,0.4419,0.4101,0.6243,0.189,up_0.8,up,0.8,cm_10,1396111.0,201641432,0.999128884007,783.075876951
281,0.3724,0.3672,0.3616,0.4662,0.4419,0.4101,0.6243,0.189,up_0.8,up,0.8,cm_20,2938376.0,201641432,0.998402901065,783.075876951
282,0.3724,0.3672,0.3616,0.4662,0.4419,0.4101,0.6243,0.189,up_0.8,up,0.8,cm_50,7551829.0,201641432,0.996794504796,783.075876951
283,0.3724,0.3672,0.3616,0.4662,0.4419,0.4101,0.6243,0.189,up_0.8,up,0.8,cm_100,15198311.0,201641432,0.994953039295,783.075876951
284,0.3724,0.3672,0.3616,0.4662,0.4419,0.4101,0.6243,0.189,up_0.8,up,0.8,gm_0.5,2707255.80023,201641432,0.995594605815,783.075876951
285,0.3724,0.3672,0.3616,0.4662,0.4419,0.4101,0.6243,0.189,up_0.8,up,0.8,gm_1.0,646769.597877,201641432,0.996804914276,783.075876951
286,0.3724,0.3672,0.3616,0.4662,0.4419,0.4101,0.6243,0.189,up_0.8,up,0.8,gm_1.5,218981.956673,201641432,0.998094467235,783.075876951
287,0.3724,0.3672,0.3616,0.4662,0.4419,0.4101,0.6243,0.189,up_0.8,up,0.8,gm_2.0,98649.383118,201641432,0.998946675492,783.075876951
288,0.2792,0.2731,0.2648,0.3631,0.3333,0.3007,0.485,0.1384,up_0.9,up,0.9,cm_10,829938.0,201641432,0.999520111839,568.80526185
289,0.2792,0.2731,0.2648,0.3631,0.3333,0.3007,0.485,0.1384,up_0.9,up,0.9,cm_20,1736638.0,201641432,0.999072282535,568.80526185
290,0.2792,0.2731,0.2648,0.3631,0.3333,0.3007,0.485,0.1384,up_0.9,up,0.9,cm_50,4417040.0,201641432,0.997952663561,568.80526185
291,0.2792,0.2731,0.2648,0.3631,0.3333,0.3007,0.485,0.1384,up_0.9,up,0.9,cm_100,8810812.0,201641432,0.99646218019,568.80526185
292,0.2792,0.2731,0.2648,0.3631,0.3333,0.3007,0.485,0.1384,up_0.9,up,0.9,gm_0.5,1579400.02206,201641432,0.996890746496,568.80526185
293,0.2792,0.2731,0.2648,0.3631,0.3333,0.3007,0.485,0.1384,up_0.9,up,0.9,gm_1.0,380594.146545,201641432,0.997764348128,568.80526185
294,0.2792,0.2731,0.2648,0.3631,0.3333,0.3007,0.485,0.1384,up_0.9,up,0.9,gm_1.5,129922.195316,201641432,0.99871170933,568.80526185
295,0.2792,0.2731,0.2648,0.3631,0.3333,0.3007,0.485,0.1384,up_0.9,up,0.9,gm_2.0,58848.582903,201641432,0.999321042895,568.80526185
